mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta,param_gamma,param_max_depth,param_min_child_weight,param_n_estimators,param_sketch_eps,param_tree_method,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06702861785888672,0.0014367833025621,0.0040318012237548825,0.0009498325525012335,0.2,0,3,0,24,0.025,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 24, 'sketch_eps': 0.025, 'tree_method': 'approx'}",-21283.705854023974,-19652.139166845034,-19513.411360231163,-19940.745879708906,-20599.349020761987,-20197.87025631421,659.1879081174559,829
0.05489373207092285,0.0012570523390078596,0.0031244754791259766,0.002749154431003189,0.2,0,3,0,24,0.03,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 24, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21360.73693011558,-18549.547008775684,-19611.288420376713,-20437.708676690923,-20278.826666845034,-20047.621540560787,934.2922139280291,712
0.06175651550292969,0.005629481289543514,0.0031270503997802733,0.0019234792283413947,0.2,0,3,0,24,0.035,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 24, 'sketch_eps': 0.035, 'tree_method': 'approx'}",-21757.207619863013,-18698.86657213185,-19617.921446917808,-18991.446503103594,-20821.038045804795,-19977.29603756421,1150.253634322051,613
0.06955423355102539,0.008991990956167031,0.0018126964569091797,0.0020739549241372266,0.2,0,3,0,25,0.025,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 25, 'sketch_eps': 0.025, 'tree_method': 'approx'}",-21258.019731913526,-19625.036560894692,-19459.910129494863,-19942.68653681507,-20574.735311429795,-20172.07765410959,663.394333834556,793
0.07201333045959472,0.00980961041485286,0.004955291748046875,0.004190316046888367,0.2,0,3,0,25,0.03,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 25, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21367.43137307363,-18431.75204676798,-19558.62970890411,-20424.540547410103,-20140.89568172089,-19984.649871575344,971.903912334354,631
0.08588881492614746,0.010207288127840877,0.005748224258422851,0.0027101492720681976,0.2,0,3,0,25,0.035,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 25, 'sketch_eps': 0.035, 'tree_method': 'approx'}",-21737.28583850599,-18629.940469820205,-19552.911279965752,-19043.579048052226,-20816.823188677226,-19956.10796500428,1154.7659615434634,496
0.07000536918640136,0.007090156868705668,0.004619455337524414,0.0003702678023158963,0.2,0,3,0,26,0.025,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 26, 'sketch_eps': 0.025, 'tree_method': 'approx'}",-21197.776929045376,-19555.92045697774,-19481.418878424658,-19910.82431239298,-20570.537243150684,-20143.295563998287,652.931780159735,766
0.08605856895446777,0.013335893077880533,0.007108831405639648,0.006789657757282131,0.2,0,3,0,26,0.03,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 26, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21329.636825770547,-18468.942342679795,-19553.056961686645,-20411.030781785103,-20111.289624357876,-19974.791307255993,947.6269319828415,577
0.06809258460998535,0.00756714944369537,0.006374740600585937,0.004404923004751727,0.2,0,3,0,26,0.035,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 26, 'sketch_eps': 0.035, 'tree_method': 'approx'}",-21831.938703981163,-18568.22913099315,-19528.184316138697,-19036.97922463613,-20840.168222923803,-19961.09991973459,1204.5167372343499,550
0.08570103645324707,0.015795192358869725,0.011832094192504883,0.007591731126457755,0.2,0,3,0,27,0.025,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 27, 'sketch_eps': 0.025, 'tree_method': 'approx'}",-21197.19814854452,-19521.489739404966,-19410.942877782534,-19893.562272581337,-20552.042192851026,-20115.047046232874,672.182152080751,748
0.07798662185668945,0.017755309971762622,0.006592273712158203,0.0022643213227974027,0.2,0,3,0,27,0.03,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 27, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21307.97701733733,-18333.80114244435,-19525.105147688355,-20496.674135809077,-19926.254949700342,-19917.96247859589,993.0780821858118,388
0.08915295600891113,0.009636549364301894,0.0035262107849121094,0.0030905781596450043,0.2,0,3,0,27,0.035,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 27, 'sketch_eps': 0.035, 'tree_method': 'approx'}",-21842.771952589897,-18532.195178724316,-19518.412229773116,-18995.664490582192,-20784.21325181935,-19934.651420697777,1215.2789226154412,442
0.066353178024292,0.01247478094828616,0.0059776782989501955,0.0038936548909433684,0.2,0,3,0.05,24,0.025,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0.05, 'n_estimators': 24, 'sketch_eps': 0.025, 'tree_method': 'approx'}",-21283.705854023974,-19652.139166845034,-19513.411360231163,-19940.745879708906,-20599.349020761987,-20197.87025631421,659.1879081174559,829
0.08085012435913086,0.019437105766337007,0.004098367691040039,0.00265423286621903,0.2,0,3,0.05,24,0.03,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0.05, 'n_estimators': 24, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21360.73693011558,-18549.547008775684,-19611.288420376713,-20437.708676690923,-20278.826666845034,-20047.621540560787,934.2922139280291,712
0.06252083778381348,0.007567651421968947,0.003943872451782226,0.0028917649733691516,0.2,0,3,0.05,24,0.035,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0.05, 'n_estimators': 24, 'sketch_eps': 0.035, 'tree_method': 'approx'}",-21757.207619863013,-18698.86657213185,-19617.921446917808,-18991.446503103594,-20821.038045804795,-19977.29603756421,1150.253634322051,613
0.07915377616882324,0.010698969556036856,0.00466761589050293,0.0016831252127008762,0.2,0,3,0.05,25,0.025,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0.05, 'n_estimators': 25, 'sketch_eps': 0.025, 'tree_method': 'approx'}",-21258.019731913526,-19625.036560894692,-19459.910129494863,-19942.68653681507,-20574.735311429795,-20172.07765410959,663.394333834556,793
0.08056054115295411,0.02357790844801211,0.005753421783447265,0.002789807023688523,0.2,0,3,0.05,25,0.03,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0.05, 'n_estimators': 25, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21367.43137307363,-18431.75204676798,-19558.62970890411,-20424.540547410103,-20140.89568172089,-19984.649871575344,971.903912334354,631
0.08692784309387207,0.017431428427599063,0.014850807189941407,0.012893844412773131,0.2,0,3,0.05,25,0.035,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0.05, 'n_estimators': 25, 'sketch_eps': 0.035, 'tree_method': 'approx'}",-21737.28583850599,-18629.940469820205,-19552.911279965752,-19043.579048052226,-20816.823188677226,-19956.10796500428,1154.7659615434634,496
0.1037588119506836,0.03177917772321088,0.005240869522094726,0.0019597771995877936,0.2,0,3,0.05,26,0.025,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0.05, 'n_estimators': 26, 'sketch_eps': 0.025, 'tree_method': 'approx'}",-21197.776929045376,-19555.92045697774,-19481.418878424658,-19910.82431239298,-20570.537243150684,-20143.295563998287,652.931780159735,766
0.088875150680542,0.014806935816561197,0.0035132884979248045,0.0016710834262167046,0.2,0,3,0.05,26,0.03,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0.05, 'n_estimators': 26, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21329.636825770547,-18468.942342679795,-19553.056961686645,-20411.030781785103,-20111.289624357876,-19974.791307255993,947.6269319828415,577
0.06992859840393066,0.007763534017241322,0.0056918621063232425,0.0038889289912115953,0.2,0,3,0.05,26,0.035,approx,"{'eta': 0.2, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0.05, 'n_estimators': 26, 'sketch_eps': 0.035, 'tree_method': 'approx'}",-21831.938703981163,-18568.22913099315,-19528.184316138697,-19036.97922463613,-20840.168222923803,-19961.09991973459,1204.5167372343499,550
