mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06945300102233887,0.002456369464616225,0.003246307373046875,0.0032956105979647494,0.01,0.05,"{'gamma': 0.01, 'min_child_weight': 0.05}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.06206045150756836,0.0060291055213037925,0.005439949035644531,0.003469028785335067,0.01,0.075,"{'gamma': 0.01, 'min_child_weight': 0.075}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.0653085708618164,0.0042505283619964215,0.003532743453979492,0.002187866153210153,0.01,0.1,"{'gamma': 0.01, 'min_child_weight': 0.1}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.06059961318969727,0.004664601153070468,0.004545021057128906,0.001394123176770563,0.01,0.2,"{'gamma': 0.01, 'min_child_weight': 0.2}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.07229881286621094,0.013067821512400875,0.0031070709228515625,0.0018592592126955888,0.01,0.3,"{'gamma': 0.01, 'min_child_weight': 0.3}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.08413052558898926,0.0063163579845541985,0.009507703781127929,0.006350752121827362,0.01,0.4,"{'gamma': 0.01, 'min_child_weight': 0.4}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.07214169502258301,0.01267871987603925,0.006861495971679688,0.0025942322169470984,0.01,0.5,"{'gamma': 0.01, 'min_child_weight': 0.5}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.06809802055358886,0.009090210115809362,0.004232454299926758,0.0007439142816698737,0.025,0.05,"{'gamma': 0.025, 'min_child_weight': 0.05}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.0750011920928955,0.008530702168584578,0.005938816070556641,0.004121299101687979,0.025,0.075,"{'gamma': 0.025, 'min_child_weight': 0.075}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.09124255180358887,0.01674614031563754,0.004154205322265625,0.003991123678577447,0.025,0.1,"{'gamma': 0.025, 'min_child_weight': 0.1}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.06847829818725586,0.00615959535289042,0.010920524597167969,0.006090774243862263,0.025,0.2,"{'gamma': 0.025, 'min_child_weight': 0.2}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.08103337287902831,0.013310671815320578,0.006991052627563476,0.0037655054061218086,0.025,0.3,"{'gamma': 0.025, 'min_child_weight': 0.3}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.06532130241394044,0.007677653389764484,0.005573081970214844,0.0036844279891102083,0.025,0.4,"{'gamma': 0.025, 'min_child_weight': 0.4}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.07948627471923828,0.018530631092715754,0.005070304870605469,0.00135891648667392,0.025,0.5,"{'gamma': 0.025, 'min_child_weight': 0.5}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.07506160736083985,0.011593903038768753,0.0032379627227783203,0.001507001099073234,0.05,0.05,"{'gamma': 0.05, 'min_child_weight': 0.05}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.07990536689758301,0.020936043186870406,0.005086278915405274,0.004506479968765539,0.05,0.075,"{'gamma': 0.05, 'min_child_weight': 0.075}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.09435882568359374,0.04249889064133861,0.004634714126586914,0.0032236296948988546,0.05,0.1,"{'gamma': 0.05, 'min_child_weight': 0.1}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.07263579368591308,0.016121207296629404,0.006087350845336914,0.0026100606846188616,0.05,0.2,"{'gamma': 0.05, 'min_child_weight': 0.2}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.0830564022064209,0.01716593979244595,0.01105360984802246,0.011362770427587552,0.05,0.3,"{'gamma': 0.05, 'min_child_weight': 0.3}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.07500057220458985,0.011887842933322696,0.006270503997802735,0.005999699272971743,0.05,0.4,"{'gamma': 0.05, 'min_child_weight': 0.4}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.07808365821838378,0.015607905241016247,0.006053829193115234,0.0010559412457176109,0.05,0.5,"{'gamma': 0.05, 'min_child_weight': 0.5}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.08365826606750489,0.01806345742092882,0.00628509521484375,0.0012896159246263627,0.075,0.05,"{'gamma': 0.075, 'min_child_weight': 0.05}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.07102808952331544,0.010577414260238146,0.0039275169372558595,0.0020141001239955205,0.075,0.075,"{'gamma': 0.075, 'min_child_weight': 0.075}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.07360224723815918,0.01726552356949742,0.005131864547729492,0.0018142425179703081,0.075,0.1,"{'gamma': 0.075, 'min_child_weight': 0.1}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.08194270133972167,0.014723469981423218,0.007428979873657227,0.007853955470934605,0.075,0.2,"{'gamma': 0.075, 'min_child_weight': 0.2}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.07381954193115234,0.009293158243513979,0.0044367313385009766,0.0019984757742914114,0.075,0.3,"{'gamma': 0.075, 'min_child_weight': 0.3}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.08495864868164063,0.007969727060371499,0.004633712768554688,0.0012470516305163944,0.075,0.4,"{'gamma': 0.075, 'min_child_weight': 0.4}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.07975964546203614,0.026516655512004005,0.006874275207519531,0.0049466606905050736,0.075,0.5,"{'gamma': 0.075, 'min_child_weight': 0.5}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.09966349601745605,0.031298234645104825,0.004942989349365235,0.0014585626035889582,0.1,0.05,"{'gamma': 0.1, 'min_child_weight': 0.05}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.06818785667419433,0.008931198208630819,0.006636619567871094,0.005554133876364432,0.1,0.075,"{'gamma': 0.1, 'min_child_weight': 0.075}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.08948087692260742,0.0219175385606788,0.004295825958251953,0.0021359591066911518,0.1,0.1,"{'gamma': 0.1, 'min_child_weight': 0.1}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.06264419555664062,0.008198575902019807,0.006070327758789062,0.0026174008480275113,0.1,0.2,"{'gamma': 0.1, 'min_child_weight': 0.2}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.08408513069152831,0.014752644836974926,0.006712865829467773,0.002441702292047035,0.1,0.3,"{'gamma': 0.1, 'min_child_weight': 0.3}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.06851954460144043,0.005801160820627278,0.005133676528930664,0.0020400871011720194,0.1,0.4,"{'gamma': 0.1, 'min_child_weight': 0.4}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
0.07052178382873535,0.010955309370136307,0.004664230346679688,0.0015171389945275247,0.1,0.5,"{'gamma': 0.1, 'min_child_weight': 0.5}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,1
