mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta,param_gamma,param_max_depth,param_min_child_weight,param_n_estimators,param_sketch_eps,param_tree_method,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.155470848083496,0.04711459078043232,0.00937190055847168,0.0008626703318811224,0.25,0,4,0,200,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 200, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-17952.531290132705,-17321.190563463184,-17828.114980201197,-15623.951987906677,-15419.388283925513,-16829.035421125856,1090.1330881688853,4
4.341520738601685,0.0787476662377038,0.013783979415893554,0.009905231659398453,0.25,0,4,0,210,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 210, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-17948.04892176798,-17324.896792059077,-17810.36178296233,-15619.547396725171,-15461.769170055652,-16832.924812714038,1076.4082671447607,7
4.795319080352783,0.23532972264387758,0.006809902191162109,0.0035548561786521676,0.25,0,4,0,220,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 220, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-17954.08647260274,-17291.320098458906,-17789.226174550513,-15609.091127996575,-15457.071757277397,-16820.159126177226,1074.3898458648505,2
5.275507640838623,0.09407010147769768,0.010082530975341796,0.0015724511223499874,0.25,0,4,0,230,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 230, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-17948.890678510274,-17285.039396939213,-17824.380391160103,-15620.46421500428,-15492.830639982876,-16834.32106431935,1067.583712887871,8
5.660754632949829,0.038787580704262824,0.019149351119995116,0.013281834716466403,0.25,0,4,0,240,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 240, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-17957.483331549658,-17269.333850599316,-17812.273651541094,-15641.670764661814,-15523.093683112158,-16840.771056292804,1053.4367409701524,16
6.0227673053741455,0.09167049085237233,0.012765645980834961,0.0023934448554167446,0.25,0,4,0,250,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 250, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-17992.37027771832,-17284.08743578767,-17770.106090806934,-15656.51847442209,-15488.69113869863,-16838.35468348673,1059.8980019259309,13
6.201793193817139,0.10544893589549044,0.009773778915405273,0.0009770483944623405,0.25,0,4,0,260,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 260, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-17995.78882170377,-17286.841770119863,-17739.182724208047,-15660.85688677226,-15498.696904430652,-16836.273421446916,1051.9931537924765,11
6.639149332046509,0.1327666113274518,0.008577537536621094,0.0004882857762067344,0.25,0,4,0,270,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 270, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-17994.211004387842,-17278.49929098887,-17741.0682322881,-15696.501297624143,-15478.458235231165,-16837.747612104027,1048.5960636370394,12
6.949065351486206,0.31456177292628945,0.0100738525390625,1.5253870886698795e-05,0.25,0,4,0,280,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 280, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-17978.27591235017,-17250.28488869863,-17741.45761317423,-15718.228676155823,-15466.924497003425,-16831.034317476453,1041.147145555679,6
6.263858985900879,0.1663811808832963,0.008060884475708009,0.0031269229852691,0.25,0,4,0,290,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 290, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-17998.97184021832,-17252.237532106163,-17752.18943974743,-15707.010340860445,-15468.76277557791,-16835.834385702055,1049.677609071311,10
