mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01138310432434082,0.011969956694327249,0.0012990474700927735,0.001171859312930388,1,{'alpha': 1},-21709.18984606349,-21189.58803647877,-22166.188752573875,-20909.494698661998,-21954.097305242354,-21585.711727804097,469.48733848101625,2
0.003303241729736328,0.0013909681990781125,0.00030193328857421877,0.0003976117044185809,10,{'alpha': 10},-21647.467532285063,-21095.009567665893,-22117.403474502265,-20883.255874926115,-21917.557091523526,-21532.138708180573,472.549199843792,1
0.0024976730346679688,0.00044226606579785764,0.0005075454711914063,0.00044920215129798233,0.1,{'alpha': 0.1},-21723.52172996395,-21198.081780781275,-22172.935513868266,-20913.00679292098,-21958.857197027333,-21593.28060291236,470.22619635865834,4
0.0023900508880615235,0.0004897691132225671,0.000998687744140625,0.0005495456583081934,0.5,{'alpha': 0.5},-21716.610571705325,-21194.433365388977,-22169.914950805938,-20911.38762305395,-21956.694745969282,-21589.808251384693,469.847669033588,3
0.0023929595947265623,0.0004893391434979047,0.0005984783172607421,0.0004886555540883141,0.05,{'alpha': 0.05},-21724.45975647489,-21198.519792898518,-22173.31606233137,-20913.217261786067,-21959.133886603013,-21593.729352018774,470.2805477346213,5
