mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta,param_gamma,param_max_depth,param_min_child_weight,param_n_estimators,param_sketch_eps,param_tree_method,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06307096481323242,0.004129055468310719,0.004022359848022461,0.004213417778960769,0.25,0,3,0,20,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 20, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21385.66459760274,-19002.551945098458,-20903.381434610445,-19651.75610017123,-20145.53296232877,-20217.777407962327,852.8054497332251,18
0.06108312606811524,0.005372272773186392,0.0032111167907714843,0.0032576671399307633,0.25,0,3,0,22,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 22, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21237.02316994863,-18735.342372110445,-20835.814426369863,-19634.481217893837,-20041.155126284248,-20096.763262521406,885.0596673354727,16
0.06932258605957031,0.004602195429429887,0.004431486129760742,0.0024945865656469755,0.25,0,3,0,24,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 24, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21213.874063570205,-18738.186015089897,-20928.125668878423,-19667.775136451197,-20025.861368257705,-20114.764450449486,891.3214691510011,17
0.06528739929199219,0.004229458394597832,0.00624551773071289,0.0037413991953146137,0.25,0,3,0,26,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 26, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21213.616973458906,-18642.22228167808,-20913.55557041952,-19602.641989511987,-20041.11650524401,-20082.6306640625,924.8194519114518,15
0.08405661582946777,0.010483151957519445,0.002513599395751953,0.002936943646657415,0.25,0,3,0,28,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 28, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21059.371481699487,-18739.579436001713,-20829.094579409248,-19541.78967786815,-20078.856338291953,-20049.73830265411,848.7792744449116,14
0.10666103363037109,0.012029706909410505,0.0054323673248291016,0.0044639986005989354,0.25,0,3,0,30,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 30, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21030.760153574487,-18640.275417380137,-20866.66984160959,-19562.98949860873,-20118.79723619435,-20043.898429473462,878.395087672482,13
0.07711262702941894,0.0128426939914808,0.0037280559539794923,0.0037783736965082185,0.25,0,4,0,20,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 20, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-21154.070941245718,-19346.351602632705,-19962.46243578767,-18466.1201171875,-19841.13263859161,-19754.02754708904,875.9062882521381,1
0.08224186897277833,0.0076679366348593354,0.003613853454589844,0.004470936730384216,0.25,0,4,0,22,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 22, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20954.22683005137,-19263.10810413099,-20148.051503638697,-18578.77913634418,-19906.447399400684,-19770.122594713182,804.9696245423784,3
0.08855361938476562,0.013926220833926608,0.004854011535644531,0.007090633451360946,0.25,0,4,0,24,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 24, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20976.118097174658,-19185.86807041952,-20128.696355950342,-18623.1005859375,-19912.610485338184,-19765.278718964044,807.4897665347694,2
0.11755061149597168,0.02201567023434683,0.004648876190185547,0.0034011216556875026,0.25,0,4,0,26,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 26, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20948.83513484589,-19240.1708984375,-20194.69949967894,-18542.245143942637,-19971.82155661387,-19779.554446703765,824.4268684443273,4
