mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004487848281860352,0.0004499669137668367,0.0009021282196044922,0.0006576389418379789,5,{'alpha': 5},-21672.99354338877,-21146.969846607506,-22143.658178272384,-20896.816208633994,-21937.654596078955,-21559.618474596322,470.4154174312733,4
0.002791881561279297,0.00039963940989755034,0.0023047924041748047,0.0023658621708703407,10,{'alpha': 10},-21647.467532285063,-21095.009567665893,-22117.403474502265,-20883.255874926115,-21917.557091523526,-21532.138708180573,472.549199843792,3
0.0025073528289794923,0.00045875344461535273,0.0007986068725585937,0.00039930804860157363,20,{'alpha': 20},-21616.224505538252,-20995.178160214396,-22076.688393447785,-20859.067641914746,-21881.378739160766,-21485.707488055188,480.862845224215,2
0.0038888931274414064,0.0023314783545473373,0.0007999897003173828,0.0004000095263386107,30,{'alpha': 30},-21604.946500653357,-20904.411412117086,-22041.26679578905,-20842.291624011024,-21847.388189379726,-21448.060904390048,489.5875390453025,1
