mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.028193140029907228,0.0040248213876892865,0.004023599624633789,0.004218112407362327,3,10,"{'max_depth': 3, 'n_estimators': 10}",-22537.414998929795,-20990.614565496577,-22550.458422517124,-19939.002300941782,-21505.61877943065,-21504.621813463185,987.5023928755628,113
0.042384910583496097,0.0027741959403987005,0.0037221908569335938,0.0036388829505678896,3,20,"{'max_depth': 3, 'n_estimators': 20}",-22014.340485873287,-19150.32882063356,-21810.839536065923,-19333.96681025257,-20813.09931506849,-20624.51499357877,1201.106519126442,32
0.06265168190002442,0.004623562383818158,0.006894540786743164,0.003412444794338658,3,30,"{'max_depth': 3, 'n_estimators': 30}",-21983.48287671233,-18904.884538206337,-21678.796152611303,-19096.078700235445,-20823.561188998287,-20497.36069135274,1281.4310110631016,21
0.07555012702941895,0.003962017943155537,0.00543055534362793,0.003683346950412101,3,40,"{'max_depth': 3, 'n_estimators': 40}",-21705.43830265411,-18872.65872485017,-21814.795242936645,-19039.673975278252,-20936.14624357877,-20473.74249785959,1276.6625255199554,19
0.11206326484680176,0.026502221034718297,0.001320219039916992,0.0018081848102359153,3,50,"{'max_depth': 3, 'n_estimators': 50}",-21822.38415025685,-19024.330145012842,-21875.661333476026,-19065.667714576197,-20806.90935359589,-20518.99053938356,1262.4139352520403,22
0.13436155319213866,0.025344649744771377,0.0029417037963867187,0.0021637910060418393,3,60,"{'max_depth': 3, 'n_estimators': 60}",-21681.427386558218,-18878.024641481163,-21805.32821864298,-19130.612505351026,-20715.820258989726,-20442.24260220462,1235.7651396142119,17
0.1337374210357666,0.008234847761066338,0.005157184600830078,0.0030218666556428887,3,70,"{'max_depth': 3, 'n_estimators': 70}",-21311.191713934077,-19154.094057684077,-21888.497137200342,-19044.053229345034,-20737.47685680651,-20427.06259899401,1144.289826617535,13
0.15366501808166505,0.0038503817423365524,0.0036281585693359376,0.004491918512320949,3,80,"{'max_depth': 3, 'n_estimators': 80}",-21236.222963934077,-19328.109776327055,-21846.32306827911,-19001.48271618151,-20509.993953339042,-20384.42649561216,1086.9042743101384,10
0.17725820541381837,0.010318231516863816,0.002421855926513672,0.0029655717287225022,3,90,"{'max_depth': 3, 'n_estimators': 90}",-21211.703686857876,-19416.501805971748,-21831.845395440923,-18942.532614511987,-20311.95968000856,-20342.90863655822,1076.2878767474924,7
0.1905811309814453,0.00793373535708022,0.005141592025756836,0.004156430094131142,3,100,"{'max_depth': 3, 'n_estimators': 100}",-21058.578900898974,-19575.98461579623,-21882.51474208048,-18989.121053617295,-20247.301450128423,-20350.70015250428,1030.7590752705582,8
0.20508198738098143,0.005404501193881545,0.003831291198730469,0.0034264102033807493,3,110,"{'max_depth': 3, 'n_estimators': 110}",-21011.60989672517,-19717.97684342894,-22148.040627675513,-19060.222509096748,-20211.874491652397,-20429.944873715755,1069.6522558839695,14
0.23000092506408693,0.012850331580947937,0.0064372062683105465,0.0064092496159810575,3,120,"{'max_depth': 3, 'n_estimators': 120}",-21048.04191192209,-19933.750401327055,-22164.25515036387,-19156.84435199058,-20144.42631635274,-20489.463626391265,1031.5695239944937,20
0.25079784393310545,0.011302136504483055,0.003217601776123047,0.0032664559251266993,3,130,"{'max_depth': 3, 'n_estimators': 130}",-21092.352218000855,-19954.716141374145,-22190.369274400684,-19210.495170697774,-20176.449860873287,-20524.87653306935,1026.642791658448,23
0.2572932720184326,0.004565430782675453,0.0034229278564453123,0.002822903545187025,3,140,"{'max_depth': 3, 'n_estimators': 140}",-21115.285290025684,-20001.80104880137,-22263.986114083906,-19249.271096425513,-20259.348218107876,-20577.93835348887,1032.5007825101106,27
0.27487812042236326,0.005686727997432436,0.006031656265258789,0.0035882275241260714,3,150,"{'max_depth': 3, 'n_estimators': 150}",-21077.60485338185,-20122.543530607876,-22334.015946061645,-19415.388257170376,-20201.203151755137,-20630.151147795375,1002.065948547034,33
0.2912031650543213,0.004418178706294412,0.004025936126708984,0.0036009945313832032,3,160,"{'max_depth': 3, 'n_estimators': 160}",-20997.308821168663,-20230.976348458906,-22375.975077589897,-19272.51075556507,-20060.73303724315,-20587.500808005138,1048.8446627794222,29
0.3414656639099121,0.035600946501642576,0.0024223804473876955,0.0029732926727576822,3,170,"{'max_depth': 3, 'n_estimators': 170}",-20999.123274293663,-20113.01704302226,-22413.401420697774,-19206.883896083047,-20107.433165667808,-20567.97175995291,1082.8796817313175,26
0.3601881504058838,0.03398567434444075,0.007657384872436524,0.0032262592092287628,3,180,"{'max_depth': 3, 'n_estimators': 180}",-21082.18449004709,-20150.20230896832,-22520.233171018837,-19269.990167487158,-20138.605789811645,-20632.24318546661,1104.4209281891995,34
0.3405259609222412,0.0026328568444307287,0.0038254261016845703,0.0035034545776484764,3,190,"{'max_depth': 3, 'n_estimators': 190}",-20999.717960723458,-20082.810259257276,-22577.79723619435,-19295.612813035103,-20322.99210723459,-20655.786075288954,1104.6755594964761,36
0.37311668395996095,0.011174147934305639,0.004630422592163086,0.003811278258220683,3,200,"{'max_depth': 3, 'n_estimators': 200}",-21060.45515839041,-20222.937573576626,-22622.758026541094,-19448.327456121577,-20337.73017444349,-20738.44167781464,1071.9188102823105,41
0.3803602695465088,0.0038366090044677672,0.007836532592773438,0.003924561027165119,3,210,"{'max_depth': 3, 'n_estimators': 210}",-21050.079757063355,-20276.957820526542,-22609.082619863013,-19539.809985017124,-20381.566218964042,-20771.499280286815,1036.1464355722483,43
0.4001650810241699,0.011023483744311925,0.004535484313964844,0.0038249799465843244,3,220,"{'max_depth': 3, 'n_estimators': 220}",-21034.407734910103,-20301.82117535317,-22623.35466609589,-19612.252180543663,-20433.305516909248,-20801.028254762416,1017.1485443040294,44
0.41699419021606443,0.008282396910752632,0.004332876205444336,0.003395131201848677,3,230,"{'max_depth': 3, 'n_estimators': 230}",-21061.639247110445,-20290.406698148545,-22646.14196275685,-19705.922423480308,-20571.970756635274,-20855.216217626286,997.0094785306737,49
0.5044257164001464,0.020274224910709366,0.0052302837371826175,0.0037261057246597727,3,240,"{'max_depth': 3, 'n_estimators': 240}",-21031.07423212757,-20254.89774186644,-22755.841301904966,-19720.17855040668,-20622.052841395547,-20876.80893354024,1033.8305918971676,52
0.46447162628173827,0.00822393946197578,0.004720067977905274,0.003235983466949555,3,250,"{'max_depth': 3, 'n_estimators': 250}",-21167.418731271406,-20229.02172517123,-22777.32811162243,-19756.38760166952,-20656.15459118151,-20917.26215218322,1040.3754565868908,54
0.4844320297241211,0.00986747553877861,0.006042385101318359,0.002542634444734464,3,260,"{'max_depth': 3, 'n_estimators': 260}",-21083.911534139555,-20326.499003371147,-22873.25294306507,-19814.372391374145,-20626.634792380137,-20944.934132866012,1048.777810854563,57
0.5003354549407959,0.015813398696873208,0.006555080413818359,0.005919365657855111,3,270,"{'max_depth': 3, 'n_estimators': 270}",-21147.714094606163,-20352.089756795805,-22896.60343535959,-19954.145481057363,-20620.765277183218,-20994.26360900043,1027.2465961867374,62
0.5091451168060303,0.0036929731690694616,0.004831743240356445,0.0032718282790605417,3,280,"{'max_depth': 3, 'n_estimators': 280}",-21174.80051369863,-20434.08330211901,-22961.005203874145,-20031.501912992295,-20617.374277611303,-21043.753042059074,1026.7597267788844,68
0.5309969425201416,0.008955759954302952,0.004440879821777344,0.004852037578557291,3,290,"{'max_depth': 3, 'n_estimators': 290}",-21110.143514554795,-20532.71967974101,-23038.39730040668,-20077.723311750855,-20621.065897902397,-21076.009940871147,1034.4896165423038,71
0.5590306758880615,0.011839919997159176,0.0016129016876220703,0.0032258033752441406,3,300,"{'max_depth': 3, 'n_estimators': 300}",-21154.436710723458,-20515.962081282105,-23072.43277771832,-20027.30424604024,-20626.67711900685,-21079.362586954194,1058.9745912665865,72
