mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta,param_gamma,param_max_depth,param_min_child_weight,param_n_estimators,param_sketch_eps,param_tree_method,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.35610122680664064,0.010312314864965678,0.004101324081420899,0.00020398240920939696,0.25,0,2,0,200,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 200, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20574.20481057363,-18197.166430329624,-20047.395628210616,-18489.919333261987,-20043.86885969606,-19470.511012414383,944.7371641916658,2
0.3806740760803223,0.014263790120979957,0.004489994049072266,0.000772361696846849,0.25,0,2,0,210,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 210, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20598.24007384418,-18220.048199379282,-20006.761785637842,-18558.630886130137,-20020.284059289384,-19480.793000856163,922.6312530919985,5
0.3911460876464844,0.010162808152636638,0.004418230056762696,0.000798904601125556,0.25,0,2,0,220,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 220, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20557.94434931507,-18230.722402076197,-20093.295697773974,-18508.39132063356,-19986.55399186644,-19475.38155233305,927.286781098963,3
0.4934401988983154,0.04165969781495855,0.004593896865844727,0.00037143669273354674,0.25,0,2,0,230,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 230, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20573.18578767123,-18171.736796339897,-20101.889688570205,-18567.53933005137,-20055.56746307791,-19493.983813142124,944.0592359353712,7
0.43895907402038575,0.014065658145040986,0.005396795272827148,0.001028710756620342,0.25,0,2,0,240,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 240, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20582.81258026541,-18176.32856645976,-20036.466676476884,-18556.227418664384,-20110.369488441782,-19492.440946061644,946.0821892564113,6
0.44683055877685546,0.009465199682377322,0.004401206970214844,0.0008054877325518277,0.25,0,2,0,250,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 250, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20541.021297089042,-18076.211659888697,-20001.373675620718,-18548.067436322774,-20093.407694777397,-19452.016352739727,960.1114817585936,1
0.4645993232727051,0.013783463467561182,0.0047035694122314455,0.00038587415879762053,0.25,0,2,0,260,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 260, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20507.390130029966,-18155.019731913526,-20022.33381046661,-18545.34322827483,-20157.165828339042,-19477.450545804797,942.0545094096287,4
0.47720966339111326,0.008216189467791922,0.005993986129760742,0.0027611441509094604,0.25,0,2,0,270,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 270, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20496.907801797945,-18181.936590325342,-20048.09499411387,-18595.16053082192,-20192.273571275684,-19502.87469766695,930.5332108868935,8
0.5135884284973145,0.017210673279459358,0.005113410949707031,0.0007984953854422569,0.25,0,2,0,280,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 280, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20505.466582833906,-18223.320352632705,-20038.75472228168,-18598.346746575342,-20161.235686001713,-19505.42481806507,914.461010713591,9
0.538902473449707,0.01629806272466409,0.007007598876953125,0.0017867214748626512,0.25,0,2,0,290,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 290, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20528.76982555651,-18252.74822078339,-20142.96707780394,-18566.527544413526,-20209.68969392123,-19540.14047249572,937.4844017059763,11
0.5417676448822022,0.016704336972688506,0.00460205078125,0.0005054517646815961,0.25,0,2,0,300,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 300, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20503.580292166094,-18246.966248394692,-20181.03282855308,-18577.98330479452,-20139.485766267124,-19529.809688035104,926.8965900299125,10
0.5673982620239257,0.013040520229113967,0.005199861526489258,0.0011788803353637216,0.25,0,2,0,310,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 310, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20554.05193172089,-18298.304901541094,-20240.569215539384,-18657.981418557363,-20195.78923640839,-19589.339340753424,922.68626427345,12
0.5752967834472656,0.013983788826735975,0.004599285125732422,0.0007859986689698648,0.25,0,2,0,320,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 320, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20525.327696917808,-18315.989378210616,-20303.93823576627,-18699.483344927226,-20208.148183326197,-19610.57736782962,914.4023970572581,13
0.6096953392028809,0.00942506469934402,0.0048008918762207035,0.0004062369553910742,0.25,0,2,0,330,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 330, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20531.377461472603,-18326.61898009418,-20340.243311215752,-18766.60502729024,-20320.76622699058,-19657.122201412672,920.2890592017478,14
0.6384158134460449,0.03822167211520715,0.005607080459594726,0.0010780056482795257,0.25,0,2,0,340,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 340, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20536.429460081337,-18295.66630993151,-20443.098044199487,-18871.188784246577,-20328.28915614298,-19694.934350920383,927.9557154443289,15
0.6441337585449218,0.014176019387282966,0.005312871932983398,0.0010719796441554766,0.25,0,2,0,350,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 350, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20592.182643942637,-18290.184316138697,-20457.645534567637,-18881.178403253423,-20335.92691834332,-19711.42356324914,941.4686667595239,16
0.6545906066894531,0.008965505350008188,0.005793619155883789,0.0011600431075483163,0.25,0,2,0,360,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 360, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20578.064305971748,-18287.312366224316,-20426.498100385274,-18929.46290400257,-20372.302185894692,-19718.72797249572,931.4984408581404,17
0.6937683582305908,0.016998417596505156,0.0046997547149658205,0.00039392569021913634,0.25,0,2,0,370,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 370, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20623.61649186644,-18309.974381956337,-20409.17479130993,-18920.560854559077,-20395.431319563355,-19731.751567851028,935.3370321830666,18
0.6974910736083985,0.009922747245597316,0.00610041618347168,0.0014987136389229573,0.25,0,2,0,380,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 380, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20593.09276005993,-18305.07828553082,-20424.27291577483,-19034.711352204624,-20417.229291523974,-19754.876921018837,917.6014367138837,19
0.7758544445037842,0.03873990233974871,0.005493021011352539,0.0011028288372327355,0.25,0,2,0,390,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 390, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20602.722535851884,-18325.35146885702,-20414.93794145976,-19016.387922731163,-20421.28491545377,-19756.136956870723,915.1528214306686,20
0.9210697650909424,0.07699527747391689,0.006695222854614258,0.0041775227635311345,0.25,0,2,0,400,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 2, 'min_child_weight': 0, 'n_estimators': 400, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20622.42649026113,-18297.034661279966,-20443.578232020547,-19028.37182951627,-20403.548426797945,-19758.99192797517,927.4433146156302,21
0.5053416728973389,0.01944868505412954,0.005596780776977539,0.001748835265570859,0.25,0,3,0,200,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 200, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20716.070820847603,-18047.158390410958,-20865.624451519692,-19804.152905607876,-20442.98214094606,-19975.197741866436,1030.2588961243503,22
0.493194055557251,0.01818881078509925,0.004900169372558594,0.0006684698198506161,0.25,0,3,0,210,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 210, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20729.321917808218,-17937.064854452055,-20885.530915560787,-19810.53348405394,-20626.95774026113,-19997.881782427226,1095.5115710439532,23
0.5274210929870605,0.007078995053060582,0.005305242538452148,0.0005966350967489787,0.25,0,3,0,220,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 0, 'n_estimators': 220, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-20716.354960402397,-18043.68669734589,-20876.948389340752,-19893.879494863013,-20679.46227525685,-20042.06636344178,1055.7885484739415,24
