mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta,param_gamma,param_min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06952705383300781,0.00494683372119992,0.0050373077392578125,0.0015202931821023489,0.1,0.01,0.05,"{'eta': 0.1, 'gamma': 0.01, 'min_child_weight': 0.05}",-27351.73640839041,-26618.208917487158,-27986.16157427226,-23954.027397260274,-25361.909407106163,-26254.40874090325,1443.8667418571426,7
0.062689208984375,0.004746525389321243,0.004041194915771484,0.0017095455178151157,0.15,0.01,0.05,"{'eta': 0.15, 'gamma': 0.01, 'min_child_weight': 0.05}",-21980.362425085616,-19608.911881956337,-21690.224810038526,-19376.072399400684,-20637.913206335616,-20658.69694456336,1054.3676536158712,4
0.0651768684387207,0.003401265008613096,0.006053829193115234,0.004998148084589517,0.2,0.01,0.05,"{'eta': 0.2, 'gamma': 0.01, 'min_child_weight': 0.05}",-20694.59540881849,-18085.11344178082,-20779.570887735445,-19611.70679045377,-20407.058031892124,-19915.608912136133,1003.7771327499163,1
0.06303133964538574,0.0028512123647818476,0.003730630874633789,0.0010791273124612756,0.25,0.01,0.05,"{'eta': 0.25, 'gamma': 0.01, 'min_child_weight': 0.05}",-21465.29801209332,-18630.58292754709,-20356.99307041952,-19229.31225920377,-20217.89106645976,-19980.015467144694,978.7016540077002,2
0.06542801856994629,0.00795203909563378,0.007883024215698243,0.002940327071855741,0.3,0.01,0.05,"{'eta': 0.3, 'gamma': 0.01, 'min_child_weight': 0.05}",-21141.009217144692,-18911.323028146406,-21492.696061643837,-18957.17615582192,-19994.10378317637,-20099.261649186643,1072.7080754299743,3
0.08583474159240723,0.006628438879052747,0.0061093330383300785,0.0033619717516760327,0.4,0.01,0.05,"{'eta': 0.4, 'gamma': 0.01, 'min_child_weight': 0.05}",-21635.422182684077,-18893.679259417808,-21538.22024828767,-19640.346091074487,-22054.264608304795,-20752.386477953765,1247.6858405063626,5
0.0731740951538086,0.005261226512248201,0.004538965225219726,0.001356235183114236,0.5,0.01,0.05,"{'eta': 0.5, 'gamma': 0.01, 'min_child_weight': 0.05}",-21813.84543557363,-18397.81872056935,-23358.00399989298,-21160.93546660959,-21224.685145547945,-21191.0577536387,1605.474570365415,6
