mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.046344661712646486,0.008607774232305273,0.0003986358642578125,0.00048822732344506266,0.1,1000,"{'alpha': 0.1, 'max_iter': 1000}",-21725.119660847362,-21198.689205190974,-22173.45037890345,-20913.357407176245,-21959.40504531,-21594.004339485604,470.32348820238883,17
0.6047545433044433,0.03858547549024298,0.0007018089294433594,0.00039760095352055214,0.1,10000,"{'alpha': 0.1, 'max_iter': 10000}",-21725.270104929117,-21198.80207249768,-22173.613726754917,-20913.33998538196,-21959.372822063993,-21594.079742325535,470.353194397911,21
3.268682336807251,2.060143196911924,0.0005030155181884766,0.00044629791300910274,0.1,100000,"{'alpha': 0.1, 'max_iter': 100000}",-21725.240943323162,-21198.78258537424,-22173.60645490299,-20913.336372321188,-21959.364953277436,-21594.066261839802,470.3528747160334,19
3.160729932785034,2.0097230294837574,0.0013964653015136718,0.0013531617495061011,0.1,1000000,"{'alpha': 0.1, 'max_iter': 1000000}",-21725.240943323162,-21198.78258537424,-22173.60645490299,-20913.336372321188,-21959.364953277436,-21594.066261839802,470.3528747160334,19
0.06233334541320801,0.012468416541590302,0.001000213623046875,5.125500410760986e-06,1,1000,"{'alpha': 1, 'max_iter': 1000}",-21723.908224999414,-21197.328462206504,-22172.69757624181,-20912.54952071493,-21958.986846920496,-21593.094126216634,470.46814805518216,16
0.357071590423584,0.21740496897619455,0.0009987831115722656,9.702200865447905e-07,1,10000,"{'alpha': 1, 'max_iter': 10000}",-21723.66353741827,-21197.24666378585,-22172.788332505574,-20912.49600487357,-21958.89070027906,-21593.017047772464,470.4912037701617,13
0.3280287265777588,0.19767814614444443,0.0007982730865478515,0.0003991365824383162,1,100000,"{'alpha': 1, 'max_iter': 100000}",-21723.66353741827,-21197.24666378585,-22172.788332505574,-20912.49600487357,-21958.89070027906,-21593.017047772464,470.4912037701617,13
0.34429125785827636,0.20855528832689935,0.0007984161376953125,0.0003992083251503943,1,1000000,"{'alpha': 1, 'max_iter': 1000000}",-21723.66353741827,-21197.24666378585,-22172.788332505574,-20912.49600487357,-21958.89070027906,-21593.017047772464,470.4912037701617,13
0.06602749824523926,0.005627573555533284,0.000797891616821289,0.0003989459615809806,0.05,1000,"{'alpha': 0.05, 'max_iter': 1000}",-21725.195945302905,-21198.76480342193,-22173.492199877986,-20913.402289901645,-21959.424716092864,-21594.055990919464,470.3154041375245,18
0.6264555931091309,0.04803083917257662,0.0003990650177001953,0.0004887528395952576,0.05,10000,"{'alpha': 0.05, 'max_iter': 10000}",-21725.339172886812,-21198.87765427287,-22173.655537478237,-20913.3848668691,-21959.392487482208,-21594.129943797845,470.3447105017683,25
4.349251222610474,1.9825607791450528,0.0003990650177001953,0.0004887528861164533,0.05,100000,"{'alpha': 0.05, 'max_iter': 100000}",-21725.328554231826,-21198.86790792637,-22173.64999779229,-20913.38306120056,-21959.39248748252,-21594.124401726713,470.34491369507657,24
6.669882440567017,4.3675684820429765,0.0007980823516845703,0.00039904144293596155,0.05,1000000,"{'alpha': 0.05, 'max_iter': 1000000}",-21725.328554231826,-21198.86790792637,-22173.65190081613,-20913.38306120056,-21959.388552654273,-21594.12399536583,470.3447714985488,23
0.05974202156066895,0.0016848705697842883,0.0007971286773681641,0.0003985707672482892,0.01,1000,"{'alpha': 0.01, 'max_iter': 1000}",-21725.25696353708,-21198.8252823209,-22173.52565665764,-20913.438196081956,-21959.44045271643,-21594.0973102628,470.308936930085,22
0.6802119731903076,0.03015876757274324,0.000997638702392578,7.478898592642843e-07,0.01,10000,"{'alpha': 0.01, 'max_iter': 10000}",-21725.400763726542,-21198.93811969306,-22173.68898605686,-20913.42077205895,-21959.408219816858,-21594.17137227045,470.3382774785585,27
6.687914657592773,0.3686400338073845,0.0007985115051269531,0.0003992560515476093,0.01,100000,"{'alpha': 0.01, 'max_iter': 100000}",-21725.40155578559,-21198.93811969357,-22173.688986057092,-20913.42077205855,-21959.40821981636,-21594.171530682233,470.33832167725626,28
28.011632013320924,14.986155491769924,0.0005984783172607421,0.0004886556471492247,0.01,1000000,"{'alpha': 0.01, 'max_iter': 1000000}",-21725.398642355936,-21198.936170290013,-22173.68825852351,-20913.420410932216,-21959.4074321943,-21594.170182859198,470.33828965450033,26
0.06881852149963379,0.01502643734055607,0.0015973567962646485,0.0011970067353773723,2,1000,"{'alpha': 2, 'max_iter': 1000}",-21722.38602978869,-21195.397283265393,-22171.69162287593,-20911.651879036155,-21958.42999357063,-21591.911361707356,470.63384407017054,12
0.20884366035461427,0.12483006828076942,0.0005987167358398437,0.0004888504080690495,2,10000,"{'alpha': 2, 'max_iter': 10000}",-21721.911125850336,-21195.397283265393,-22171.879230686933,-20911.562259730897,-21958.269097928005,-21591.803799492314,470.6546325554149,9
0.20246448516845703,0.1196858278659874,0.0005988597869873047,0.0004889672087844452,2,100000,"{'alpha': 2, 'max_iter': 100000}",-21721.911125850336,-21195.397283265393,-22171.879230686933,-20911.562259730897,-21958.269097928005,-21591.803799492314,470.6546325554149,9
0.21892499923706055,0.1266482949206398,0.0005986690521240234,0.0004888115132602699,2,1000000,"{'alpha': 2, 'max_iter': 1000000}",-21721.911125850336,-21195.397283265393,-22171.879230686933,-20911.562259730897,-21958.269097928005,-21591.803799492314,470.6546325554149,9
