mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta,param_gamma,param_max_depth,param_min_child_weight,param_n_estimators,param_sketch_eps,param_tree_method,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9312383651733398,0.015534538124352727,0.003933477401733399,0.0015645226657808149,0.25,0,4,0,200,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 200, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-18921.647969285103,-18620.882223886987,-17829.01232074058,-17706.460683326197,-17053.596251605308,-18026.319889768834,669.7086238217864,1
1.003913688659668,0.030252532374755853,0.005538415908813476,0.002723372754202377,0.25,0,4,0,210,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 210, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-18961.742080479453,-18634.516668450342,-17818.89568172089,-17709.664905286816,-17054.91264447774,-18035.946396083047,682.8443257198504,3
1.0645230770111085,0.026798393459792305,0.004418563842773437,0.0011615368370046402,0.25,0,4,0,220,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 220, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-18954.210174978594,-18657.191272474316,-17803.839188249145,-17684.817329302226,-17064.95553296233,-18033.002699593322,685.4340042716807,2
1.0869349002838136,0.014283881572970596,0.004956197738647461,0.0016756001113053388,0.25,0,4,0,230,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 230, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-18997.93795483733,-18703.273009417808,-17795.94298480308,-17672.13988923373,-17063.21259631849,-18046.50128692209,708.0061294130901,4
1.1495185852050782,0.026184136149762737,0.008194541931152344,0.0027543728513976335,0.25,0,4,0,240,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 240, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-19061.024373929795,-18698.46652932363,-17797.662363548803,-17685.44131260702,-17067.120143942637,-18061.94294467038,721.7473360481462,5
1.2169179916381836,0.021111924961919836,0.004951858520507812,0.001807435737843216,0.25,0,4,0,250,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 250, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-19089.51538420377,-18706.312526755137,-17784.042313249145,-17671.356752996577,-17063.513029751713,-18062.94800139127,734.5421506196476,6
1.2669217109680175,0.0189343016729562,0.003831768035888672,0.0011274622023969116,0.25,0,4,0,260,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 260, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-19139.126912992295,-18678.11453874144,-17787.997418129282,-17674.43943974743,-17088.807202482876,-18073.69710241866,736.4102422414064,7
1.3223580837249755,0.024021430154762418,0.0042449951171875,0.001872272914463962,0.25,0,4,0,270,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 270, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-19157.66360766267,-18691.906999143837,-17784.24202696918,-17669.522327161816,-17086.108331549658,-18077.88865849743,745.5940028181546,8
1.3893822193145753,0.012254922484336687,0.006669330596923828,0.0034351011217132136,0.25,0,4,0,280,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 280, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-19190.448710402397,-18695.757678724316,-17781.31755672089,-17692.44461686644,-17094.592974101026,-18090.912307363014,751.2783570278626,9
1.481114149093628,0.028885701749705957,0.012918758392333984,0.013485066497723502,0.25,0,4,0,290,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 290, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-19221.550058861303,-18689.129307577055,-17812.137802333047,-17719.244769370718,-17096.22814105308,-18107.658015839042,753.664618362308,10
1.6849308013916016,0.08823022084556177,0.005640602111816407,0.0015738867628147725,0.25,0,4,0,300,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 300, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-19248.694001498287,-18693.176717679795,-17810.558165667808,-17722.00666202911,-17099.26728381849,-18114.7405661387,761.3660899032806,11
1.7937208652496337,0.049969827339702864,0.007540416717529297,0.0017039595033607803,0.25,0,4,0,310,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 310, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-19256.39354130993,-18709.311590325342,-17807.18564051798,-17738.629655393837,-17122.28673480308,-18126.761432470033,758.5746857324656,12
1.7667605876922607,0.09646464791693964,0.005353021621704102,0.002391319124595222,0.25,0,4,0,320,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 320, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-19275.753799229453,-18704.898571275684,-17794.363829730308,-17741.501832726884,-17137.324151862158,-18130.7684369649,760.5583458842277,13
1.6754098415374756,0.02791261839533058,0.007985734939575195,0.004434812728642361,0.25,0,4,0,330,0.03,approx,"{'eta': 0.25, 'gamma': 0, 'max_depth': 4, 'min_child_weight': 0, 'n_estimators': 330, 'sketch_eps': 0.03, 'tree_method': 'approx'}",-19299.831683433218,-18706.67045697774,-17793.399266909248,-17750.580840646406,-17129.304914918663,-18135.957432577055,769.353902155351,14
